keys,en,es,zh_CN,ru,pt_BR,de,ja,fr,pl,ko
Text/83/text,"augh, I… t-the room is spinning… my head…","agh, yo… l-la habitación da vueltas… mi cabeza…","呃，我……房、房间在旋转……我的头……","ох, я… к-комната кружится… моя голова…","argh, eu… o-o quarto está girando… minha cabeça…","argh, ich… d-das Zimmer dreht sich… mein Kopf…","うっ、私……へ、部屋が回ってる……頭が……","argh, je… l-la pièce tourne… ma tête…","ach, ja… p-pokój wiruje… moja głowa…","윽, 나… 바, 방이 빙빙 돌아… 머리가…"
Text/84/text,uuuggguuh–,uuughhh…,呜呃——,у-у-ух…,uuurgh–,uuughhh–,ううぅっ——,ouuurgh…,uuuch…,으으윽…
Text/85/text,–Hello?? Is someone there?,"–¿Hola? ¿Hay alguien ahí?",——喂？？有人吗？,— Эй?! Тут кто-то есть?,–Olá?? Tem alguém aí?,–Hallo?? Ist da jemand?,——ねえ？？誰かいるの？,– Ohé ?? Il y a quelqu'un ?,– Halo?? Jest tam kto?,–여보세요?? 거기 누구 있어?
Text/86/text,ugghh…what…w-where are you? What is the hell going on?,"ughh… qué… ¿d-dónde estás? ¿Qué demonios está pasando?","呃……什么……你、你在哪儿？这到底是怎么回事？","у-ух… что… г-где ты? Что вообще происходит?","urghh… o quê… o-onde você está? Que diabos está acontecendo?","urghh… was… w-wo bist du? Was zur Hölle geht hier vor?","うぅ……何……ど、どこにいるの？一体何がどうなってるのよ？","argh… quoi… o-où es-tu ? Qu'est-ce qui se passe, bon sang ?","uch… co… g-gdzie jesteś? Co się tu, do diabła, dzieje?","으윽… 뭐야… 너, 너 어디 있어? 대체 무슨 일이 벌어지고 있는 거야?"
Text/87/text,"Up again already? Well then, I’m sure you’ll find your new powers to be most delightful. Enjoy them while you can, Lucretias!","¿Ya en pie otra vez? Bien, seguro que vuestros nuevos poderes os resultarán de lo más deliciosos. ¡Disfrutadlos mientras podáis, Lucretias!","这么快就醒了？很好，相信你们会觉得新力量妙不可言。趁还来得及，好好享用吧，卢克蕾西娅们！","Уже на ногах? Что ж, уверен, новые силы придутся вам по вкусу. Наслаждайтесь ими, пока можете, Лукреции!","Já de pé de novo? Pois bem, tenho certeza de que acharão seus novos poderes deliciosos. Aproveitem enquanto podem, Lucretias!","Schon wieder auf den Beinen? Nun denn, eure neuen Kräfte werdet ihr sicher höchst entzückend finden. Genießt sie solange ihr könnt, Lucretias!","もう起き上がったのか？ならば、新しい力はさぞ心地よかろう。今のうちに楽しんでおくがいい、ルクレツィアたちよ！","Déjà debout ? Eh bien, je suis sûr que vous trouverez vos nouveaux pouvoirs délicieux. Profitez-en tant que vous le pouvez, Lucretias !","Już na nogach? No cóż, jestem pewien, że wasze nowe moce okażą się przerozkoszne. Cieszcie się nimi, póki możecie, Lukrecje!","벌써 일어났나? 그렇다면 새로 얻은 힘이 무척 마음에 들 거다. 즐길 수 있을 때 실컷 즐기거라, 루크레티아들이여!"
Text/88/text,…,…,……,…,…,…,……,…,…,…
Text/89/text,"Hey, voice in my head that sounds a lot like me – care to explain?","Oye, voz de mi cabeza que suena igualita a mí… ¿me lo explicas?","喂，我脑子里那个听起来和我一模一样的声音——要不要解释一下？","Эй, голос в моей голове, подозрительно похожий на мой, — может, объяснишься?","Ei, voz na minha cabeça que soa igualzinha a mim – se importa de explicar?","Hey, Stimme in meinem Kopf die verdächtig nach mir klingt – magst du das erklären?","ねえ、私の頭の中の、私そっくりな声——説明してくれる？","Hé, la voix dans ma tête qui me ressemble beaucoup… tu veux bien m'expliquer ?","Hej, głosie w mojej głowie, który brzmi zupełnie jak ja — zechcesz to wyjaśnić?","저기, 내 머릿속에서 나랑 똑같은 목소리로 말하는 너… 설명 좀 해줄래?"
Text/8a/text,It’s starting to come back to me now…,"Ya empiezo a recordarlo…","我现在开始想起来了……","Теперь я начинаю вспоминать…","Está começando a voltar pra mim agora…","So langsam kommt es wieder…","だんだん思い出してきた……","Ça commence à me revenir…","Powoli zaczynam sobie przypominać…","이제 조금씩 기억나기 시작해…"
Text/8b/text,"Actually, let’s put a pin in it. I gotta get out of here. There’s–","Mejor lo dejamos para luego. Tengo que salir de aquí. Hay…","先放一放吧。我得离开这里。有——","Хотя знаешь, отложим. Мне надо выбираться отсюда. Тут…","Na verdade, vamos deixar pra depois. Preciso sair daqui. Tem–","Eigentlich… verschieben wir das. Ich muss hier raus. Da sind–","っていうか、その話はあとにしましょ。ここから出なきゃ。だって——","En fait, on verra ça plus tard. Je dois sortir d'ici. Il y a…","Właściwie odłóżmy to na później. Muszę się stąd wydostać. Tu są…","아니, 그 얘긴 나중에 하자. 일단 여기서 나가야 해. 저기…"
Text/8c/text,–Zombies!,–¡Zombis!,——僵尸！,— Зомби!,–Zumbis!,–Zombies!,——ゾンビ！,– Des zombies !,– Zombie!,–좀비다!
